Timestamp,"Before the coronavirus crisis, how often did you eat out at a sit-down restaurant?",Currently how often do you eat out at a sit-down restaurant?,Next year how often do you think you'll eat out at a sit-down restaurant?,In what year were you born?,In what zip code do you live?,What is your gender?,What is the highest level of education you have completed?,What is your Amazon Worker ID?
7/17/2020 16:39:03,Once a month,Less than once per month,Less than once per month,1994,08861,Female,High school,A3KK5FKG3L0Q66
7/17/2020 16:39:16,Once a week,Less than once per month,Less than once per month,1976,21286,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A3UN1P6COG2PQF
7/17/2020 16:39:17,Multiple times per week,Less than once per month,Less than once per month,1990,85138,Female,College graduate,A38CDYAQ00NBGE
7/17/2020 16:39:17,Once a week,Less than once per month,Less than once per month,1957,33810,Female,College graduate,A1Z3JC2PW0L1NY
7/17/2020 16:39:26,Once a week,Less than once per month,Less than once per month,1982,49024,Female,College graduate,A3K1P4SPR8XS7R
7/17/2020 16:39:28,Less than once per month,Less than once per month,Less than once per month,1988,02871,Female,College graduate,A3S8IT61UGPM5X
7/17/2020 16:39:37,Once a month,Less than once per month,Less than once per month,1983,66046,Male,High school,A3NFGEUZAH9V5G
7/17/2020 16:39:42,Less than once per month,Less than once per month,Less than once per month,1992,30141,Female,College graduate,A1VEXF7BDDZIMI
7/17/2020 16:39:45,Once a month,Once a month,Once a month,1976,57106,Female,High school,A2KS4K0MBUG3E2
7/17/2020 16:39:46,Once a week,Less than once per month,Once a week,1991,60302,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",ASVU8IUWURJTW
7/17/2020 16:39:47,Multiple time per month,Once a month,Once a week,1985,89120,Female,College graduate,A27O0S1S242HM
7/17/2020 16:39:49,Multiple time per month,Once a month,Multiple time per month,1992,10024,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1TK9VM3WZDAGP
7/17/2020 16:40:10,Once a month,Multiple time per month,Once a week,1972,93561,Male,College graduate,AZKYZC0QBA36T
7/17/2020 16:40:11,Multiple time per month,Less than once per month,Once a month,1990,35756,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1HAUHRSK9158F
7/17/2020 16:40:31,Less than once per month,Less than once per month,Once a month,1985,11377,Female,College graduate,A16YBLP6VWRACN
7/17/2020 16:40:33,Multiple time per month,Once a month,Multiple time per month,1994,36303,Other,College graduate,AY1DFLTV8803D
7/17/2020 16:40:36,Once a week,Less than once per month,Less than once per month,1989,63125,Female,High school,AW4ZS69VGLBU3
7/17/2020 16:40:38,Once a week,Less than once per month,Multiple times per week,1995,77656,Male,College graduate,A37DAASX13UR2U
7/17/2020 16:40:39,Multiple times per week,Once a week,Multiple times per week,1992,10036,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A345TDMHP3DQ3G
7/17/2020 16:40:44,Multiple time per month,Less than once per month,Once a month,1992,46041,Female,College graduate,A9SL0VIIP1X46
7/17/2020 16:40:44,Once a week,Multiple time per month,Multiple times per week,1971,27613,Male,College graduate,A1L8BCRDKJY09C
7/17/2020 16:40:46,Once a month,Less than once per month,Once a month,1987,22801,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A3PJLANVHZPRVO
7/17/2020 16:40:54,Multiple time per month,Multiple time per month,Once a week,1992,94134,Female,College graduate,A1LM8OCZ4TNAJ
7/17/2020 16:40:58,Multiple time per month,Less than once per month,Multiple time per month,1995,90102,Male,College graduate, AOAMTLMPOJ7P7
7/17/2020 16:40:58,Multiple times per week,Multiple times per week,Multiple times per week,1959,32084,Male,College graduate,A1EDN55K4IF2GD
7/17/2020 16:40:59,Once a month,Less than once per month,Once a month,1995,06902,Female,College graduate,A3RBBKBN7CHTA0
7/17/2020 16:41:00,Multiple times per week,Less than once per month,Multiple time per month,1960,29572,Female,College graduate,A30VLIFQPJZ17P
7/17/2020 16:41:09,Multiple time per month,Less than once per month,Once a month,1993,78641,Female,High school,A3BBWUMRUEEH4S
7/17/2020 16:41:11,Multiple time per month,Less than once per month,Multiple time per month,1961,12603,Female,High school,A2DF1NCVJ8V8K2
7/17/2020 16:41:14,Once a week,Less than once per month,Less than once per month,1980,89145,Male,College graduate,A83P3LAYYA3KI
7/17/2020 16:41:15,Once a week,Less than once per month,Less than once per month,1975,06085,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A2Z75NJBZ46RE9
7/17/2020 16:41:18,Once a week,Less than once per month,Multiple time per month,1952,34786,Male,College graduate,A3MYQGYGHTZVCP
7/17/2020 16:41:35,Once a week,Less than once per month,Less than once per month,1988,61517,Female,High school,A14F2LNRHR7591
7/17/2020 16:41:36,Multiple times per week,Less than once per month,Less than once per month,1980,91977,Female,College graduate,A34OBJP7DD6MWZ
7/17/2020 16:41:40,Once a month,Less than once per month,Less than once per month,1997,94116,Female,College graduate,AO5OQXVZW7VMQ
7/17/2020 16:41:45,Once a week,Once a week,Multiple times per week,1994,48312,Female,College graduate,A2GZNOA5CIVKUB
7/17/2020 16:41:48,Once a month,Less than once per month,Less than once per month,1989,90028,Female,High school,A3JFC6OJ13O1XR
7/17/2020 16:41:51,Multiple time per month,Less than once per month,Less than once per month,1998,40202,Female,College graduate,AZ4NVW69W0R2
7/17/2020 16:41:57,Once a week,Less than once per month,Less than once per month,1963,19104,Female,College graduate,A1DCKRRPA4AWVD
7/17/2020 16:42:03,Once a month,Once a month,Multiple time per month,1990,63383,Male,College graduate,A14GHC1CURH2V7
7/17/2020 16:42:13,Once a month,Multiple time per month,Multiple time per month,1995,95035,Male,College graduate,AYC2GKZ01KX4T
7/17/2020 16:42:15,Once a week,Once a week,Multiple times per week,1995,77707,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1GNFACHJZRHC1
7/17/2020 16:42:16,Multiple times per week,Less than once per month,Multiple times per week,1993,76102,Male,College graduate,A2EN5B4X5RNO5I
7/17/2020 16:42:17,Multiple time per month,Less than once per month,Less than once per month,1981,25812,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A21H886K2FVNLG
7/17/2020 16:42:26,Multiple time per month,Less than once per month,Less than once per month,1963,23113,Male,College graduate,A3O6CWMMWFR661
7/17/2020 16:42:32,Once a week,Less than once per month,Less than once per month,1977,11706,Male,College graduate,AHY1VI32C495O
7/17/2020 16:42:36,Multiple time per month,Less than once per month,Less than once per month,1978,29206,Male,College graduate,A1EKBD6Y56PY75
7/17/2020 16:42:40,Multiple times per week,Less than once per month,Multiple time per month,1968,85032,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A2AXTI0S3ZORT3
7/17/2020 16:42:45,Once a week,Multiple time per month,Once a month,1988,23294,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A27DIDZ5B9MZWJ
7/17/2020 16:42:45,Once a month,Less than once per month,Less than once per month,1983,10033,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A17DXR1QC8GWL8
7/17/2020 16:42:51,Once a week,Less than once per month,Less than once per month,1999,11422,Female,High school,A29P04QSJBNKOQ
7/17/2020 16:42:51,Multiple time per month,Less than once per month,Multiple time per month,1993,16059,Female,High school,AI0K2LZWV73MB 
7/17/2020 16:43:11,Once a month,Once a month,Multiple time per month,1980,93268,Male,College graduate,A11ZALF2W0FE0L
7/17/2020 16:43:12,Once a month,Less than once per month,Less than once per month,1978,31757,Male,College graduate,A2NCQAVB0MZFUW
7/17/2020 16:43:19,Once a month,Once a month,Multiple time per month,1980,35758,Male,College graduate,35758
7/17/2020 16:43:20,Multiple time per month,Less than once per month,Once a month,1983,77066,Male,College graduate,A2Y8CTOLND2394
7/17/2020 16:43:21,Multiple time per month,Once a month,Multiple time per month,1962,78681,Female,College graduate,A2I1SKHVHIZ10N
7/17/2020 16:43:32,Once a month,Less than once per month,Less than once per month,1993,77049,Male,High school,A2RYVRVXETQ7CA
7/17/2020 16:44:05,Multiple times per week,Multiple times per week,Once a week,1994,94057,Male,College graduate,AKCAFGXSMNQOA
7/17/2020 16:44:09,Multiple time per month,Less than once per month,Once a month,1982,27012,Female,College graduate,A18Z1TTXV1S4
7/17/2020 16:44:18,Less than once per month,Less than once per month,Multiple times per week,1991,22102,Male,College graduate,A3IIQZBU83RKDL
7/17/2020 16:44:19,Multiple time per month,Once a week,Multiple times per week,1983,51002,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",AOA75ZNVNGANP
7/17/2020 16:44:22,Once a week,Less than once per month,Once a week,1979,80923,Male,College graduate,A2JD24JWKJ8T48
7/17/2020 16:44:27,Once a week,Multiple time per month,Multiple time per month,1967,17055,Female,College graduate,A49A0FF6ZXYDU
7/17/2020 16:44:28,Once a week,Less than once per month,Multiple time per month,1995,75000,Male,College graduate,A36EQ11HKMCZ9Q
7/17/2020 16:44:29,Once a week,Once a week,Once a week,1995,78155,Male,College graduate,ALND785CTX0Q6
7/17/2020 16:44:29,Once a month,Once a week,Multiple time per month,1985,06905,Female,College graduate,A2OQPWTUUVLNX5
7/17/2020 16:44:46,Multiple time per month,Multiple times per week,Once a month,1983,95020,Male,College graduate,A2G0561MNP2WE4
7/17/2020 16:44:54,Multiple time per month,Less than once per month,Once a month,1975,30134,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1AIHD59JXEEDU
7/17/2020 16:45:02,Multiple time per month,Multiple time per month,Multiple time per month,1980,68310,Male,College graduate,A3FNEC44G9FI6U
7/17/2020 16:45:21,Once a week,Multiple time per month,Once a week,1970,37618,Female,College graduate,A1RYB8ALAOMIC9
7/17/2020 16:45:44,Once a week,Less than once per month,Multiple times per week,1992,34711,Female,College graduate,A3MF22SGH75VO3
7/17/2020 16:45:45,Less than once per month,Less than once per month,Less than once per month,1967,87801,Male,College graduate,A2M2VURTH8T0AT
7/17/2020 16:46:04,Multiple times per week,Multiple time per month,Multiple times per week,1971,06830,Female,College graduate,AYWLLF8WKJRY0
7/17/2020 16:46:06,Less than once per month,Less than once per month,Less than once per month,1969,77388,Female,College graduate,COPIEDA2XP6TQ1UDW55B
7/17/2020 16:46:11,Multiple time per month,Less than once per month,Once a week,1982,48105,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1W4JSIVK4QE4E
7/17/2020 16:46:38,Multiple times per week,Less than once per month,Multiple times per week,1980,37160,Male,College graduate,A2G86FC52N3VF0
7/17/2020 16:46:44,Once a week,Multiple time per month,Multiple time per month,1980,85282,Male,College graduate,A1A2H4FSA9BPK1
7/17/2020 16:46:53,Once a week,Less than once per month,Less than once per month,1992,10541,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A3V8FN8YW3YHAV
7/17/2020 16:46:56,Once a week,Once a week,Once a month,1977,80015,Male,College graduate,ATNTBEFDP8R11
7/17/2020 16:46:59,Multiple time per month,Less than once per month,Once a month,1960,93536,Male,"Post-graduate (e.g. MS, MBA, PhD, etc.)",AJ0Q5GK81LNJ7
7/17/2020 16:47:07,Multiple time per month,Once a week,Once a week,1990,38572,Male,College graduate,A2H35XZQPMNBYG
7/17/2020 16:47:30,Multiple times per week,Once a month,Multiple time per month,1995,58103,Female,College graduate,A32EDXXUOTLBPP
7/17/2020 16:47:34,Once a month,Less than once per month,Less than once per month,1992,32839,Female,High school,AWTGJ45ZWUCHH
7/17/2020 16:47:46,Multiple times per week,Once a week,Multiple times per week,1962,28306,Female,College graduate,AZHW79PH959WU
7/17/2020 16:49:24,Once a week,Multiple time per month,Once a week,1996,07030,Female,College graduate,AOMFEAWQHU3D8
7/17/2020 16:49:40,Once a week,Multiple time per month,Multiple time per month,1990,20678,Male,College graduate,A2MY0OOD3PV4VT
7/17/2020 16:50:52,Once a month,Multiple time per month,Multiple time per month,1981,71119,Female,High school,A2RR8NVVEYDPG8
7/17/2020 16:50:56,Multiple time per month,Less than once per month,Once a month,1994,63966,Male,College graduate,A1Y6HQIQ83EX78
7/17/2020 16:51:12,Once a month,Multiple time per month,Multiple times per week,1980,30606,Male,College graduate,A3LLZIP2EHCZKA
7/17/2020 16:51:36,Once a month,Less than once per month,Less than once per month,1989,92782,Male,College graduate,A1W845RVTAYPYN
7/17/2020 16:55:20,Multiple times per week,Less than once per month,Once a week,1953,49509,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A1GTK51EOSCJOV
7/17/2020 17:01:41,Multiple times per week,Less than once per month,Less than once per month,1973,33401,Male,College graduate,A3VLGVKJOHU58D
7/17/2020 17:04:11,Once a week,Once a month,Once a week,1977,32219,Female,College graduate,AG6CIGYNJZ3YS
7/17/2020 17:05:37,Once a week,Once a month,Once a month,1987,72758,Male,College graduate,A2KSAAQBU5R0F6
7/17/2020 17:06:02,Once a week,Less than once per month,Less than once per month,1993,80124,Female,"Post-graduate (e.g. MS, MBA, PhD, etc.)",A20TA5ADSMQSRW
7/17/2020 17:06:30,Multiple time per month,Once a month,Multiple time per month,1961,98801,Male,College graduate,ALWYLVUFJ0MBA
7/17/2020 17:08:34,Multiple time per month,Less than once per month,Less than once per month,1993,19713,Male,High school,A2BD11QQOL41OI
7/17/2020 17:08:53,Multiple time per month,Less than once per month,Multiple time per month,1975,17512,Female,College graduate,ATPXLMZRF6Q1C